優先度,日本語,品詞,カテゴリ,英単語,カタカナ読み,過去形,過去分詞,類義語
1,する,動詞,基本動詞,do,ドゥー,did,done,perform,carry out
2,ある,動詞,基本動詞,be,ビー,was,been,exist,have
3,いる,動詞,基本動詞,exist,イグジスト,existed,existed,be there,stay
4,なる,動詞,基本動詞,become,ビカム,became,become,turn into,get
5,言う,動詞,基本動詞,say,セイ,said,said,tell,speak
6,見る,動詞,基本動詞,see,シー,saw,seen,watch,look
7,行く,動詞,基本動詞,go,ゴー,went,gone,head,move
8,来る,動詞,基本動詞,come,カム,came,come,arrive,approach
9,思う,動詞,基本動詞,think,シンク,thought,thought,believe,feel
10,知る,動詞,基本動詞,know,ノウ,knew,known,recognize,understand
11,分かる,動詞,基本動詞,understand,アンダースタンド,understood,understood,get,comprehend
12,聞く,動詞,基本動詞,hear,ヒア,heard,heard,listen,ask
13,話す,動詞,基本動詞,speak,スピーク,spoke,spoken,talk,tell
14,使う,動詞,基本動詞,use,ユーズ,used,used,utilize,employ
15,作る,動詞,基本動詞,make,メイク,made,made,create,build
16,持つ,動詞,基本動詞,have,ハブ,had,had,hold,carry
17,入る,動詞,基本動詞,enter,エンター,entered,entered,go in,join
18,出る,動詞,基本動詞,leave,リーブ,left,left,exit,go out
19,取る,動詞,基本動詞,take,テイク,took,taken,get,grab
20,買う,動詞,日常生活,buy,バイ,bought,bought,purchase,get
21,売る,動詞,ビジネス,sell,セル,sold,sold,trade,market
22,食べる,動詞,日常生活,eat,イート,ate,eaten,consume,have
23,飲む,動詞,日常生活,drink,ドリンク,drank,drunk,consume,sip
24,読む,動詞,日常生活,read,リード,read,read,study,peruse
25,書く,動詞,日常生活,write,ライト,wrote,written,compose,note
26,働く,動詞,ビジネス,work,ワーク,worked,worked,labor,function
27,休む,動詞,日常生活,rest,レスト,rested,rested,take a break,relax
28,始まる,動詞,基本動詞,start,スタート,started,started,begin,commence
29,終わる,動詞,基本動詞,end,エンド,ended,ended,finish,close
30,続く,動詞,基本動詞,continue,コンティニュー,continued,continued,last,persist
31,変わる,動詞,基本動詞,change,チェンジ,changed,changed,shift,transform
32,増える,動詞,基本動詞,increase,インクリース,increased,increased,grow,rise
33,減る,動詞,基本動詞,decrease,ディクリース,decreased,decreased,decline,drop
34,開く,動詞,基本動詞,open,オープン,opened,opened,start,unfold
35,閉まる,動詞,基本動詞,close,クローズ,closed,closed,shut,end
36,動く,動詞,基本動詞,move,ムーブ,moved,moved,shift,operate
