優先度,日本語,品詞,カテゴリ,英単語,カタカナ読み,過去形,過去分詞,類義語
2133,兄,名詞,日常生活,older brother,オルダーブラザー,,,
2134,姉,名詞,日常生活,older sister,オルダーシスター,,,
2135,弟,名詞,日常生活,younger brother,ヤンガーブラザー,,,
2136,妹,名詞,日常生活,younger sister,ヤンガーシスター,,,
2137,小学生,名詞,教育,elementary school student,エレメンタリースクールスチューデント,,,
2138,中学生,名詞,教育,junior high school student,ジュニアハイスクールスチューデント,,,
2139,高校生,名詞,教育,high school student,ハイスクールスチューデント,,,
2140,大学生,名詞,教育,university student,ユニバーシティスチューデント,,,
2141,社会人,名詞,社会,working adult,ワーキングアダルト,,,
2142,人格,名詞,抽象概念,personality (character),パーソナリティ,,,
2143,形成,名詞,抽象概念,formation,フォーメーション,,,
2144,形成する,動詞,抽象概念,form (shape),フォーム,formed (shape),formed (shape),shape
2145,時期,名詞,基本名詞,period (time),ピリオド,,,timing
2146,衝撃,名詞,抽象概念,shock (impact),ショック,,,impact
2147,物語,名詞,趣味,story (tale),ストーリー,,,narrative
2148,中心,名詞,基本名詞,center,センター,,,core
2149,進行,名詞,抽象概念,progression,プログレッション,,,advancement
2150,進行する,動詞,抽象概念,proceed,プロシード,proceeded,proceeded,advance
2151,感覚,名詞,抽象概念,sense (feeling),センス,,,perception
2152,記憶,名詞,抽象概念,memory,メモリー,,,
2153,思い出,名詞,感情,recollection,レコレクション,,,memory
2154,出来事,名詞,基本名詞,happening,ハプニング,,,event
2155,現象,名詞,抽象概念,phenomenon,フェノメノン,,,
2156,本質,名詞,抽象概念,essence,エッセンス,,,
2157,属性,名詞,抽象概念,attribute,アトリビュート,,,
2158,背景,名詞,抽象概念,background,バックグラウンド,,,
2159,前提,名詞,抽象概念,premise,プレミス,,,assumption
2160,根拠,名詞,抽象概念,basis,ベイシス,,,grounds
2161,論点,名詞,抽象概念,point of argument,ポイントオブアーギュメント,,,
2162,主題,名詞,趣味,theme,シーム,,,
2163,題材,名詞,趣味,subject matter,サブジェクトマター,,,
2164,概要,名詞,ビジネス,overview,オーバービュー,,,summary
2165,要点,名詞,ビジネス,key point,キーポイント,,,gist
2166,詳細,名詞,ビジネス,details,ディテールズ,,,specifics
2167,概念,名詞,教育,concept,コンセプト,,,
